Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","044","Bahamas","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","31337.130387","X","Chiffre de source externe",""
"MK","Indicateurs macro","048","Bahreïn","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","35473.670213","X","Chiffre de source externe",""
"MK","Indicateurs macro","048","Bahreïn","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","23936.430428","X","Chiffre de source externe",""
"MK","Indicateurs macro","050","Bangladesh","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","288958.017599","X","Chiffre de source externe",""
"MK","Indicateurs macro","050","Bangladesh","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1781.644264","X","Chiffre de source externe",""
"MK","Indicateurs macro","052","Barbade","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5517.34045","X","Chiffre de source externe",""
"MK","Indicateurs macro","052","Barbade","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","19692.760671","X","Chiffre de source externe",""
"MK","Indicateurs macro","112","Bélarus","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","54725.415191","X","Chiffre de source externe",""
"MK","Indicateurs macro","112","Bélarus","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","5763.124298","X","Chiffre de source externe",""
"MK","Indicateurs macro","056","Belgique","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","500908.767352","X","Chiffre de source externe",""
"MK","Indicateurs macro","056","Belgique","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","44029.817866","X","Chiffre de source externe",""
"MK","Indicateurs macro","084","Belize","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2281.258834","X","Chiffre de source externe",""
"MK","Indicateurs macro","084","Belize","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6112.67327","X","Chiffre de source externe",""
"MK","Indicateurs macro","204","Bénin","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12701.655846","X","Chiffre de source externe",""
"MK","Indicateurs macro","204","Bénin","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1054.974081","X","Chiffre de source externe",""
"MK","Indicateurs macro","060","Bermudes","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","7119.542274","X","Chiffre de source externe",""
"MK","Indicateurs macro","060","Bermudes","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","111980.343575","X","Chiffre de source externe",""
"MK","Indicateurs macro","064","Bhoutan","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2591.358024","X","Chiffre de source externe",""
"MK","Indicateurs macro","064","Bhoutan","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3435.290344","X","Chiffre de source externe",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","37508.683068","X","Chiffre de source externe",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3306.306472","X","Chiffre de source externe",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","18326.376359","X","Chiffre de source externe",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","5345.019948","X","Chiffre de source externe",""
"MK","Indicateurs macro","072","Botswana","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","16105.179232","X","Chiffre de source externe",""
"MK","Indicateurs macro","072","Botswana","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","7104.974323","X","Chiffre de source externe",""
"MK","Indicateurs macro","076","Brésil","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2063514.688806","X","Chiffre de source externe",""
"MK","Indicateurs macro","076","Brésil","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","10080.507872","X","Chiffre de source externe",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12128.166606","X","Chiffre de source externe",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","28024.379132","X","Chiffre de source externe",""
"MK","Indicateurs macro","100","Bulgarie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","59167.636023","X","Chiffre de source externe",""
"MK","Indicateurs macro","100","Bulgarie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8362.165635","X","Chiffre de source externe",""
"MK","Indicateurs macro","854","Burkina Faso","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","14106.955625","X","Chiffre de source externe",""
"MK","Indicateurs macro","854","Burkina Faso","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","709.091536","X","Chiffre de source externe",""
"MK","Indicateurs macro","108","Burundi","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3297.826848","X","Chiffre de source externe",""
"MK","Indicateurs macro","108","Burundi","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","286.599032","X","Chiffre de source externe",""
"MK","Indicateurs macro","132","Cabo Verde","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1996.741545","X","Chiffre de source externe",""
"MK","Indicateurs macro","132","Cabo Verde","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3893.095723","X","Chiffre de source externe",""
"MK","Indicateurs macro","116","Cambodge","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","29082.920414","X","Chiffre de source externe",""
"MK","Indicateurs macro","116","Cambodge","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1809.385082","X","Chiffre de source externe",""
"MK","Indicateurs macro","120","Cameroun","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","36098.547059","X","Chiffre de source externe",""
"MK","Indicateurs macro","120","Cameroun","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1496.089519","X","Chiffre de source externe",""
"MK","Indicateurs macro","124","Canada","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1649265.644244","X","Chiffre de source externe",""
"MK","Indicateurs macro","124","Canada","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","44806.6561","X","Chiffre de source externe",""
"MK","Indicateurs macro","152","Chili","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","276364.936832","X","Chiffre de source externe",""
"MK","Indicateurs macro","152","Chili","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","14891.26084","X","Chiffre de source externe",""
"MK","Indicateurs macro","344","Chine - RAS de Hong-Kong","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","341271.09999","X","Chiffre de source externe",""
