Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","048","Bahreïn","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","98096","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","050","Bangladesh","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","167.41","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","050","Bangladesh","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","118","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","052","Barbade","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","562.47","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","052","Barbade","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","1858","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","112","Bélarus","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17840.21","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","112","Bélarus","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","11833","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","056","Belgique","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","212149.49","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","056","Belgique","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","329934","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","084","Belize","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","084","Belize","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","4","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","204","Bénin","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","70849.23","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","204","Bénin","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","63240","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","064","Bhoutan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1298.4","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","064","Bhoutan","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","1683","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","690.09","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","645","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7408.64","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","7109","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","072","Botswana","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2230.64","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","072","Botswana","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","2723","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","076","Brésil","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3305.78","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","076","Brésil","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","8320","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","096","Brunéi Darussalam","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1485.83","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","096","Brunéi Darussalam","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","2956","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","100","Bulgarie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","96121.26","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","100","Bulgarie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","105200","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","854","Burkina Faso","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","74.92","A","Chiffre officiel",""
