Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","344","Chine - RAS de Hong-Kong","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","23400","E","Valeur estimée",""
"QCL","Cultures et produits animaux","446","Chine - RAS de Macao","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3408.72","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","156","Chine, continentale","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","13279000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","158","Chine, Taiwan Province de","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","555323","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","196","Chypre","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","25099.74","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","170","Colombie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1563607.1","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","174","Comores","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","574.73","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","178","Congo","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6536.76","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","188","Costa Rica","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","133200","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","384","Côte d'Ivoire","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","58459.97","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","191","Croatie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","52400","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","192","Cuba","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","29250","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","208","Danemark","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","151712","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","212","Dominique","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","363.81","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","818","Égypte","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1302922","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","222","El Salvador","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","136238.18","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","784","Émirats arabes unis","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","57387","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","218","Équateur","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","459886","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","232","Érythrée","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1559.71","E","Valeur estimée",""
"QCL","Cultures et produits animaux","724","Espagne","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1317486.64","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","233","Estonie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","20400","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","748","Eswatini","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2225.86","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","840","États-Unis d'Amérique","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","19140570","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","231","Éthiopie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","67382.55","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","643","Fédération de Russie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4542243.65","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","242","Fidji","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","33071","A","Chiffre officiel",""
